text,confidence,root_intent,ai_provider,created_at,passed_confidence,env,id,conversation_id,session_id,channel
Rewards Summary,1,Rewards Summary,watson,1.48E+12,TRUE,Test,28,,,
Hi Bob,1,Greeting,watson,1.48E+12,TRUE,Test,29,,,
I want to order products,1,Order,watson,1.48E+12,TRUE,Test,30,,,
Whats the stock price of apple,0.999868,Order,watson,1.48E+12,TRUE,Test,31,,,
What is the monthly payment on a million dollar home?,0.999724,ThirdPartyIntent,watson,1.48E+12,TRUE,Test,33,,,
I want to order five reams of white hammermill paper,0.831215,Order,watson,1.48E+12,TRUE,Test,34,,,
I want to know my rewards summary,0.999868,Rewards Summary,watson,1.48E+12,TRUE,Test,35,,,
Hi,0.999868,Order,watson,1.48E+12,TRUE,Test,36,,,
nope,0.999868,Negative,watson,1.48E+12,TRUE,Test,37,,,
i want to buy paper,0.99999,Order,watson,1.48E+12,TRUE,Test,38,,,
no,0.99999,Order,watson,1.48E+12,TRUE,Test,39,,,
@bobdabot find me a hotel in El Nido Philippines,0.999999,RewardsSummary,watson,1.48E+12,TRUE,Test,40,,,
@bobdabot show me all the hotel with vacancy december 26th and 27th,0.999999,RewardsSummary,watson,1.48E+12,TRUE,Test,41,,,
"@bobdabot find me a hotel in El Nido Philippines with availability for December 26, 2016 and December 27, 2016",1,RewardsSummary,watson,1.48E+12,TRUE,Test,42,,,
@bobdabot show me random number,1,RewardsSummary,watson,1.48E+12,TRUE,Test,43,,,
@bobdabot lets have some small talk,1,Greeting,watson,1.48E+12,TRUE,Test,44,,,
@bobdabot that was way off,0.999868,Order,watson,1.48E+12,TRUE,Test,45,,,
@bobdabot get it together man,1,Greeting,watson,1.48E+12,TRUE,Test,46,,,
@bobdabot u will learn to be better,0.999724,ThirdPartyIntent,watson,1.48E+12,TRUE,Test,47,,,